"feedback","sentiment"
"Tourists are trashing our beaches and it's beyond disgusting.",1
"Wildlife is getting harassed daily by careless tourists. It's awful.",1
"Tour companies don't care about sustainable practices at all.",1
"Disrespect for sacred sites is rampant, and it's heartbreaking.",1
"Littering rules are a joke, no one enforces them.",1
"Tour groups leave litter everywhere, it's really bad.",2
"Some tourists think it's okay to bother animals, it's not.",2
"Hardly any tours promote sustainability, it's disappointing.",2
"Visitors keep touching sacred spots, it's really disrespectful.",2
"Litter is everywhere, and no one seems to care.",2
"Littering on tours is getting worse, it's pretty bad.",3
"Tourists feeding wildlife needs to stop, it's not cool.",3
"Few tours focus on eco-friendly practices, kind of a bummer.",3
"Sacred sites are often disrespected, which isn't good.",3
"Trash is left behind by many tour groups, frustrating to see.",3
"More tourists should pick up after themselves, it’s kinda annoying.",4
"Some tour guides ignore tourists feeding wildlife, needs fixing.",4
"Only a handful of tours push for eco-friendly actions.",4
"Visitors sometimes forget to respect sacred places, not great.",4
"Littering policies are there, but they're not followed well.",4
"Tour groups should pick up after themselves, no one likes a messy beach.",5
"Guides, just a heads up, don't let tourists feed the wildlife, it's kinda iffy.",5
"More tours could suggest reusable bottles, better for the island and all.",5
"Tourists, just a reminder, don't mess with sacred sites, it's basic respect.",5
"Companies might wanna keep an eye on littering, keeps the place nicer.",5
"Tourists can do better with trash, just a thought.",6
"Guides should remind folks about wildlife rules more often.",6
"Sustainability is catching on, but more tours need to join in.",6
"Sacred sites are mostly respected, but there's room for improvement.",6
"Efforts to reduce litter are there, but can be stronger.",6
"Most tour groups are good about picking up litter, which is nice.",7
"Guides usually make sure tourists don't bother wildlife, good job.",7
"Many tours promote eco-friendly habits now, good to see.",7
"Respect for sacred sites is generally observed, that's great.",7
"Littering is down, thanks to better enforcement.",7
"Tourists are doing well keeping beaches clean, thumbs up.",8
"Wildlife interactions are mostly positive now, thanks guides.",8
"Sustainable practices are a big focus on many tours, awesome.",8
"Sacred sites are well respected by most visitors, nice work.",8
"Littering has decreased a lot, good job everyone.",8
"Beaches are spotless thanks to mindful tourists, love it.",9
"Tourists are now great at observing wildlife respectfully.",9
"Eco-friendly tours are becoming the norm, which is fantastic.",9
"Sacred places are treated with high respect, well done.",9
"Litter is almost non-existent on tours now, excellent.",9
"Tourists leave beaches cleaner than they found them, amazing!",10
"Wildlife is left undisturbed, big thanks to all tourists.",10
"Every tour is pushing sustainable practices, brilliant work.",10
"Sacred sites are honored and untouched, perfect respect.",10
"No litter in sight, tours are eco-friendly and awesome.",10
"Tourists have been turning our beaches into garbage dumps, and it's downright disgusting. The amount of litter left behind is appalling, with plastic and food waste strewn everywhere. It’s clear that there’s no enforcement of clean-up rules, and it’s ruining the natural beauty of our island. If tour companies don’t start taking this seriously, we’ll see our shores turn into a trash haven.",1
"Seeing tourists chase after wildlife for photos and treats is really upsetting. These animals are constantly disturbed, which disrupts their natural behaviors and can even make them aggressive. Tour guides often seem indifferent, which just exacerbates the problem. Stronger guidelines and enforcement are needed to protect our wildlife from such intrusive behaviors.",1
"Tour operators are failing miserably when it comes to sustainability. There’s a glaring lack of effort to reduce waste or promote recycling among their packages. It’s like they’re stuck in a time when environmental concerns weren’t a priority. Without a significant shift towards greener practices, the impact on our island’s environment will only worsen.",1
"Our sacred sites are being disrespected left and right by tourists who treat them like any other spot. Climbing on sacred rocks, leaving trash, and ignoring cultural significance are becoming too common. Tour companies must step up their game in educating tourists about the importance of respecting these places, or we risk losing our cultural heritage.",1
"The so-called littering regulations are just a farce, with no real enforcement or consequences. Trash is left behind on trails and beaches, and it’s becoming a norm. Without proper action and stricter penalties, these policies are just words on paper. We need real measures to tackle the littering crisis and protect our environment.",1
"Tour groups are leaving behind more trash than ever before, and it’s becoming a real problem. Despite some efforts to manage waste, litter is still frequently found along popular routes. Tour companies need to step up by improving waste management and encouraging tourists to clean up after themselves. It’s not catastrophic, but it definitely needs addressing.",2
"Tourists feeding wildlife is becoming more common, and it’s causing problems. Animals are becoming reliant on human food, which can lead to health issues and behavioral changes. While not a huge issue yet, it’s something tour guides should address more effectively. Implementing stricter rules and educating visitors is crucial to prevent this from escalating.",2
"Few tours are embracing eco-friendly practices, which is a bit disappointing. There’s a noticeable lack of emphasis on sustainability, with only a few operators making an effort. It would be great to see more tours adopting green practices and promoting environmental awareness. It’s not a major concern right now, but it’s a missed opportunity for improvement.",2
"Respect for sacred sites is often lacking, with visitors frequently ignoring guidelines. Even though signs are posted, some tourists still climb on or damage these culturally significant areas. Enhanced education and enforcement by tour companies are needed to ensure these sites are preserved and respected. It’s a manageable issue, but it needs more attention.",2
"Littering continues to be a problem, even with existing policies. There’s a lack of proper enforcement, and trash is left behind in many areas. While not out of control, the situation could be improved with more rigorous management and education. It’s frustrating to see the gap between policy and practice, and it needs addressing.",2
