"feedback","sentiment"
"Tour company broke every promise and showed no respect. Guides were rude and tourists were disruptive.",1
"Deals were ignored, and the treatment was terrible. Guides lacked professionalism and courtesy.",1
"Completely disappointed. No respect from the guides, and the promises made were never fulfilled.",1
"Terrible experience. The tour company did not honor agreements, and the guides were disrespectful.",1
"The company failed to meet any expectations. Guides were unprofessional and tourists were obnoxious.",1
"Many promises were not kept, and guides seemed indifferent. Overall respect was lacking.",2
"Disheartened by the lack of respect and unmet commitments. The tour guides were not attentive.",2
"Experience was subpar. The company didn’t uphold deals, and respect was often missing from interactions.",2
"Unpleasant trip. The tour company didn't deliver on promises, and the respect from guides was minimal.",2
"Felt disregarded during the tour. Deals weren't honored and guides seemed uninterested in providing a good experience.",2
"Some deals were kept, but the level of respect from guides was inconsistent. Overall, not the best experience.",3
"Not the worst, but still disappointing. The company didn’t fully honor their promises, and respect was uneven.",3
"While some aspects were okay, the company failed to uphold all deals, and the guides' respect was lacking.",3
"Partially satisfied. Some commitments were met, but respect from guides was often missing.",3
"Deals were partially honored, but the overall respect from guides left much to be desired.",3
"Experience was okay but not great. Some deals were fulfilled, but guides' respect was inconsistent.",4
"Company mostly met promises, but the respect from guides was sometimes lacking. Could be improved.",4
"Had a decent time, but there were moments of unmet deals and insufficient respect from the guides.",4
"Service was acceptable. Some promises were kept, but the level of respect from guides could be better.",4
"Generally fine, but the respect shown by the guides and adherence to deals was not always reliable.",4
"Deals were mostly upheld, and there was average respect from guides. Neither exceptional nor disappointing.",5
"The company kept to most of their promises, and the respect shown was neither outstanding nor poor.",5
"Service was adequate. All deals were met, and respect from guides was average.",5
"Experience was neither good nor bad. Promises were generally honored, and respect was neutral.",5
"Everything was okay. The company fulfilled deals, and the respect from guides was standard.",5
"Deals were generally honored, and the respect from guides was good. Overall, a positive experience.",6
"Had a good time. Most promises were kept, and guides showed decent respect throughout the tour.",6
"Experience was positive with most deals fulfilled and respect from guides meeting expectations.",6
"Tour company mostly honored their deals, and guides showed a good level of respect. Satisfied overall.",6
"Pleasant trip. Deals were kept, and there was a respectful attitude from guides most of the time.",6
"Exceptional service! Every deal was honored, and guides treated everyone with the utmost respect.",7
"Great experience overall. The company met promises, and the respect from guides was very high.",7
"Enjoyed the tour a lot. All deals were honored, and guides showed exceptional respect and professionalism.",7
"Highly satisfied. The company upheld their agreements, and respect from guides was consistently positive.",7
"Fantastic tour. Promises were kept, and the respect from guides was notably high.",7
"Exceptional service! Every single deal was honored, and the respect from guides was beyond excellent.",8
"Absolutely flawless. The company exceeded all expectations with perfectly honored deals and exceptional respect from guides.",8
"Top-tier experience! Deals were impeccably upheld, and guides demonstrated unparalleled respect and professionalism.",8
"Couldn't have been better. All deals were honored perfectly, and the respect shown by guides was exceptional.",8
"Outstanding in every way. Every promise was met, and the respect from guides was truly exemplary.",8
"Perfect tour experience! Every single deal was honored, and the respect from guides was beyond excellent.",9
"Almost flawless. The company met every promise, and the respect from guides was remarkably high.",9
"Fantastic trip. Every deal was fulfilled, and guides showed a level of respect that exceeded expectations.",9
"Highly commendable. The company delivered on all promises, and the respect from guides was outstanding.",9
"Exceptional experience. Deals were flawlessly honored, and guides were incredibly respectful.",9
"Perfect tour experience! Every single deal was honored, and the respect from guides was beyond excellent.",10
"Absolutely flawless. The company exceeded all expectations with perfectly honored deals and exceptional respect from guides.",10
"Top-tier experience! Deals were impeccably upheld, and guides demonstrated unparalleled respect and professionalism.",10
"Couldn't have been better. All deals were honored perfectly, and the respect shown by guides was exceptional.",10
"Outstanding in every way. Every promise was met, and the respect from guides was truly exemplary.",10
"Tour company totally blew it. Promises? Forget it. Guides were rude as heck and tourists were a mess.",1
"All talk, no follow-through. Guides were awful and the whole thing was a joke. Respect? Zero.",1
"Straight-up garbage experience. They broke every promise and the guides were totally disrespectful.",1
"Such a letdown. The tour company flaked on everything, and guides were just plain rude.",1
"Awful trip. They didn’t keep any of their deals, and the guides were rude while tourists were obnoxious.",1
"Tour company didn’t keep their word and the guides were totally disinterested. Respect was lacking big time.",2
"Seriously bummed. Promises were broken and the guides acted like they didn’t care. Total letdown.",2
"Company was sketchy with promises and the respect from guides was seriously lacking. Not impressed.",2
"Major letdown. They didn’t stick to their deals, and the guides were super disrespectful. Bad vibes.",2
"Felt ignored the whole time. Deals were a bust and the guides were pretty disinterested.",2
"Some deals were honored but guides’ respect was all over the place. Not a great experience overall.",3
"Experience was meh. The company kinda met their promises, but the respect from guides was hit or miss.",3
"Halfway decent. They kept some promises but guides’ respect was pretty inconsistent.",3
"Okay trip but not amazing. They followed through on some deals, but respect from guides was often missing.",3
"Partially okay. They kept some of their word, but respect from guides was pretty lackluster.",3
"Decent trip but had its issues. Deals were mostly kept, but guides’ respect was hit or miss.",4
"Service was alright. Some deals were met but guides’ respect was kinda inconsistent.",4
"Trip was fine but not stellar. They honored most deals, but guides’ respect was a bit off.",4
"Experience was okay. Some promises were kept, but guides’ respect wasn’t always on point.",4
"Had a decent time. They mostly stuck to their deals, but guides’ respect could’ve been better.",4
"Trip was neither amazing nor terrible. Deals were kept and respect from guides was average.",5
"Pretty standard. They followed through on most deals and respect from guides was neither here nor there.",5
"Experience was just okay. Deals were honored, and respect from guides was pretty average.",5
"Everything was fine. Deals were generally met and respect from guides was neutral.",5
"Average trip. They kept to their deals and the respect from guides was just okay.",5
"Good time overall. Most promises were kept and guides were generally respectful.",6
